,,MN,MN,MN,MN,MN,MN,MN,0,G1,G1,G1,G1,G1,G1,G1,,NH,NH,NH,NH,NH,NH,NH,1,G2,G2,G2,G2,G2,G2,G2,,DD,DD,DD,DD,DD,DD,DD,0,G3,G3,G3,G3,G3,G3,G3,,SH,SH,SH,SH,SH,SH,SH,0,G4,G4,G4,G4,G4,G4,G4
2-Feb-13,8:06:54,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:06:55,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:07:00,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:07:01,A,C,,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:07:27,A,C,,M,N,,T,0,,,,,,,,,,,,,,,,1,,,,,,S>,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:07:31,A,C,,M,N,,T,0,,,,,,,,,,,,,,,,1,,,,,,S>,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:07:33,A,C,,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:07:42,A,C,,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,<L,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:07:50,A,C,,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:07:52,A,C,,M,N,,T,0,,,,,,,,,,,,,,,,1,,,,,,S>,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:08:00,A,C,,M,N,,T,0,,,,,,,,,,,,,,,,0,,,,,,S>,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:08:03,A,C,,M,N,,T,0,,,,,,,,,,,,,,,,1,,,,,,S>,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:08:05,A,C,,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:08:29,A,C,,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,<L,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:08:45,A,C,,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:08:48,A,C,,M,N,,,0,,,,,,,,,,,,,,S,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
2-Feb-13,8:08:49,A,C,L,M,N,,,0,,,,,,,,,,,,,,S,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
2-Feb-13,8:08:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
