,,MN,MN,MN,MN,MN,MN,MN,0,G1,G1,G1,G1,G1,G1,G1,,NH,NH,NH,NH,NH,NH,NH,1,G2,G2,G2,G2,G2,G2,G2,,DD,DD,DD,DD,DD,DD,DD,0,G3,G3,G3,G3,G3,G3,G3,,SH,SH,SH,SH,SH,SH,SH,0,G4,G4,G4,G4,G4,G4,G4
2-Feb-13,16:57:00,A,C,L,M,N,,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,S,,0,,,,,,,
2-Feb-13,16:58:00,A,C,L,M,N,,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,S,,0,,,,,,,
2-Feb-13,16:59:00,A,C,L,M,N,,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,S,,0,,,,,,,
2-Feb-13,17:00:00,A,C,L,M,N,,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,S,,0,,,,,,,
,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
3-Feb-13,8:00:00,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:00:30,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:00:57,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:01:00,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:01:43,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:02:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:02:14,A,C,,M,N,S,,0,,,,,,,,,,,L,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:02:34,,C,,M,N,S,,0,,,,,,,,,A,,L,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:02:43,A,C,,M,N,S,,0,,,,,,,,,,,L,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:02:45,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:02:46,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:03:00,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:03:06,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:03:28,A,C,,M,N,S,,0,,,,,,,,,,,L,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:03:47,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:03:51,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:04:00,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:04:03,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:05:07,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,L>,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:05:15,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:05:20,A,C,,M,N,,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,S,,0,,,,,,,
3-Feb-13,8:05:37,A,C,,M,N,,,0,,,,,,,,,,,L,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,S,,0,,,,,,,
3-Feb-13,8:05:39,,C,,M,N,,,0,,,,,,,,,A,,L,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,S,,0,,,,,,,
3-Feb-13,8:05:48,,C,L,M,N,,,0,,,,,,,,,A,,,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,S,,0,,,,,,,
3-Feb-13,8:05:51,,C,L,M,N,S,,0,,,,,,,,,A,,,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:05:54,,C,L,,N,S,,0,,,,,,,,,A,,,M,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:05:56,,C,,,N,S,,0,,,,,,,,,A,,,M,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:06:00,,C,,,N,S,,0,,,,,,,,,A,,,M,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:06:03,,C,,,N,S,,0,,,,,,,,,A,,,M,,,T,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:06:06,,C,,,N,S,T,0,,,,,,,,,A,,,M,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:06:06,A,C,,,N,S,T,0,,,,,,,,,,,,M,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:06:06,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:06:16,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:06:37,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:07:00,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:07:04,A,C,,M,N,,T,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:07:52,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:08:00,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:08:09,A,C,,M,N,S,,0,,,,,,,,,,,,,,,T,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:08:18,A,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,T>,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:08:19,A,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,T>,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:08:32,,C,,M,N,S,,0,,,,,,,,,A,,,,,,,1,,,,,,,T>,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:08:47,A,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,T>,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:08:49,A,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,T>,,,,,,,,,0,,,<L,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:08:57,A,C,,M,N,S,,0,,,,,,,,,,,,,,,T,0,,,,,,,,,,,,,,,,0,,,<L,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:09:00,A,C,,M,N,S,,0,,,,,,,,,,,,,,,T,1,,,,,,,,,,,,,,,,0,,,<L,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:09:09,A,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,T>,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:09:17,A,C,,M,N,S,,0,,,,,,,,,,,,,,,T,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:09:43,A,C,,M,N,S,,0,,,,,,,,,,,,,,,T,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:09:46,A,C,,M,N,S,,0,,,,,,,,,,,,,,,T,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:09:47,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:09:50,A,,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,C,L,,,,,0,,,,,,,
3-Feb-13,8:09:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Feb-13,8:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Feb-13,8:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Feb-13,8:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Feb-13,8:12:19,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,L,M,N,S,T,0,,,,,,,
3-Feb-13,8:12:22,,,,,,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,L,M,N,,T,0,,,,,,,
3-Feb-13,8:12:24,,,,M,,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,L,,N,,T,0,,,,,,,
3-Feb-13,8:12:28,,,,M,,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,A,C,,,N,,T,0,,,,,,,
3-Feb-13,8:12:30,,,,M,,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,L,,,,,0,,,,,,,,,,C,,,N,,T,0,,,,,,,
3-Feb-13,8:12:33,,,,M,,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,L,,,,T,0,,,,,,,,,,C,,,N,,,0,,,,,,,
3-Feb-13,8:12:34,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,L,,,,T,0,,,,,,,,,,C,,,,,,0,,,,,,,
3-Feb-13,8:12:37,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,C,L,,,,,0,,,,,,,
3-Feb-13,8:12:40,,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:12:42,,C,L,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:12:50,,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:13:00,,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:13:02,,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,L,,,,,0,,,,,,,
3-Feb-13,8:13:02,,C,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
3-Feb-13,8:13:02,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,L,,,,T,0,,,,,,,
3-Feb-13,8:13:08,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
3-Feb-13,8:13:08,,,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
3-Feb-13,8:13:10,,,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,C,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
3-Feb-13,8:13:18,,,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,A,C,,,,,T,0,,,,,,,
3-Feb-13,8:13:22,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,A,C,,,,,T,0,,,,,,,
3-Feb-13,8:13:28,A,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,C,,,,,T,0,,,,,,,
3-Feb-13,8:13:28,A,,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,C,,,,,,0,,,,,,,
3-Feb-13,8:13:37,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:13:48,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:13:56,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:14:00,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:14:26,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:14:34,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:14:42,A,,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,C,,,,,,0,,,,,,,
3-Feb-13,8:14:50,A,,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,C,L,,,,,0,,,,,,,
3-Feb-13,8:14:50,A,,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:14:54,A,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,,,L,,,,T,0,,,,,,,
3-Feb-13,8:14:54,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
3-Feb-13,8:15:00,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
3-Feb-13,8:15:01,,,,,N,S,,0,,,,,,,,,,,,M,,,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
3-Feb-13,8:15:15,,,,,N,S,,0,,,,,,,,,,,,M,,,,1,,<C,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
3-Feb-13,8:15:51,,,,,N,S,,0,,,,,,,,,,,,M,,,,1,,<C,,,,,,,,,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
3-Feb-13,8:15:56,,,,,,S,,0,,,,,,,,,,,,M,N,,,1,,<C,,,,,,,,,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
3-Feb-13,8:15:59,,,,,,S,,0,,,,,,,,,,,,,N,,,1,,<C,,M>,,,,,,,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
3-Feb-13,8:16:00,,,,,,S,,0,,,,,,,,,,,,,N,,,1,,<C,,M>,,,,,,,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
3-Feb-13,8:16:00,,,,,,S,,0,,,,,,,,,,,,,,,,1,,<C,,M>,N>,,,,,,L,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
3-Feb-13,8:16:01,A,,,,,S,,0,,,,,,,,,,,,,,,,1,,<C,,M>,N>,,,,,,L,,,,,0,,,,,,,,,,,,,,,T,0,,,,,,,
3-Feb-13,8:16:56,A,,,,,S,,0,,,,,,,,,,,,M,,,,1,,<C,,,N>,,,,,,L,,,,,0,,,,,,,,,,,,,,,T,0,,,,,,,
3-Feb-13,8:16:58,A,,,,,S,,0,,,,,,,,,,,,M,,,,1,,,,,N>,,,,,,L,,,,,0,,,,,,,,,,C,,,,,T,0,,,,,,,
3-Feb-13,8:16:59,A,,,,,S,,0,,,,,,,,,,,,M,,,,1,,,,,N>,,,,,,L,,,,T,0,,,,,,,,,,C,,,,,,0,,,,,,,
3-Feb-13,8:17:00,A,,,,,S,,0,,,,,,,,,,,,M,,,,1,,,,,N>,,,,,,L,,,,T,0,,,,,,,,,,C,,,,,,0,,,,,,,
3-Feb-13,8:17:00,A,,,M,,S,,0,,,,,,,,,,,,,,,,1,,,,,N>,,,,,,L,,,,T,0,,,,,,,,,,C,,,,,,0,,,,,,,
3-Feb-13,8:17:00,A,C,,M,,S,,0,,,,,,,,,,,,,,,,1,,,,,N>,,,,,,L,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:01,A,C,,M,,S,,0,,,,,,,,,,,,,,,,1,,,,,N>,,,,,,,,,,T,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:17:01,A,C,,M,,S,,0,,,,,,,,,,,,,N,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:17:01,A,C,,M,,S,,0,,,,,,,,,,,,,N,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:17:04,A,C,,,,S,,0,,,,,,,,,,,,M,N,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:17:05,A,C,L,,,S,,0,,,,,,,,,,,,M,N,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:09,A,,L,,,S,,0,,C>,,,,,,,,,,M,N,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:10,,,L,,,S,,0,,C>,,,,,,,,,,M,N,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
3-Feb-13,8:17:12,,,L,,,S,,0,,,,,,,,,,C,,M,N,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
3-Feb-13,8:17:15,,,L,,,,,0,,,,,,,,,,C,,M,N,S,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
3-Feb-13,8:17:17,,,L,,,,,0,,,,,,,,,,C,,M,N,S,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:18,,,L,M,,,,0,,,,,,,,,,C,,,N,S,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:19,,,L,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:20,,,L,M,N,S,,0,,,,,,,,,,C,,,,,,1,,,,,,,,,A,,,,,,T,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:22,,,L,M,N,S,,0,,,,,,,,,,C,,,,,,1,,,,,,,,,A,,,,,,,0,,,,,,,,,,,,,,,T,0,,,,,,,
3-Feb-13,8:17:24,,C,L,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,A,,,,,,,0,,,,,,,,,,,,,,,T,0,,,,,,,
3-Feb-13,8:17:26,,C,L,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
3-Feb-13,8:17:29,,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,,0,,,,,,,
3-Feb-13,8:17:30,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:35,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:44,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:17:51,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:17:56,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:18:00,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,L,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:18:54,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:19:00,A,C,,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,L,,,,,0,,,,,,,
3-Feb-13,8:19:00,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:19:19,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:20:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:21:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:21:07,,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,,0,,,,,,,
3-Feb-13,8:21:14,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:22:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:22:09,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:23:00,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:23:30,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:24:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:25:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:26:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:27:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:27:39,,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,,0,,,,,,,
3-Feb-13,8:27:43,,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,A>,,,,,,
3-Feb-13,8:27:52,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:28:00,A,C,,M,N,S,T,0,,,,,,,,,,,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:28:03,A,C,,M,N,S,T,0,,,<L,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
3-Feb-13,8:28:11,A,C,L,M,N,S,T,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,
